"Vertical";"SubTipo";"Marca";"Nombre"
"Supermercado";"Otros alimentos";"Nonisec";"Nonisec Ropa Interior Descartable Para Adulto Eg X8 Unidades"
"Supermercado";"Otros alimentos";"Nonisec";"Ropa Interior Descartable Para Adulto Nonisec G X 8 Unidades"
"Supermercado";"Cuidado personal";"Nonisec";"Pañales Adultos Descartables Nonisec Anatómico Ultra Talla Grande 8 Unidades"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Circular Q2 Qualika - Touch + Desempañador + Hora (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Circular Q1 Qualika - Touch (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Ovalado Q2 Qualika - Touch + Desempañador + Hora (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Ovalado Q1 Qualika - Touch (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Cuadrado Q2 Qualika - Touch + Desempañador + Hora (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Cuadrado Q1 Qualika - Touch (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Rectangular Horizontal Q2 Qualika - Touch + Desempañador + Hora (Luz Cálida / Fría / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Rectangular Horizontal Q1 Qualika (Luz Calida / Fria / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Rectangular Vertical Q2 Qualika - Touch + Desempañador + Hora (Luz Calida / Fria / Amarilla)"
"Hogar";"Otros hogar";"Qualika";"Espejo Inteligente Rectangular Vertical Q1 Qualika (Luz Calida / Fria / Amarilla)"
"Suplementos";"Comida proteica";"Granger";"Cookies Proteicas Granger Con Chips De Chocolate"
"Suplementos";"Comida proteica";"Granger";"Pancakes Proteicos Veganos Granger 400g Bajo En Azúcar Sabor Chocolate Suizo"
"Suplementos";"Proteinas";"Granger";"Colageno Hidrolizado Beauty Granger Sabor Naranja Naranja"
"Suplementos";"Vitaminas y Salud";"Granger";"Colágeno Flex Granger 250g Sabor Naranja"
"Suplementos";"Vitaminas y Salud";"Granger";"Chia Puddings Granger Sin Azucar Omega 3 Sabor Chocolate"
"Suplementos";"Creatinas";"Granger";"Creatina Monohidrato Micronizada Granger 300grs 100% Pura Sin Sabor"
"Suplementos";"Comida proteica";"Granger";"Omelette Proteico Granger 210g"
"Suplementos";"Comida proteica";"Granger";"Cupcakes Proteicos Chocolate 360 Gramos Granger"
"Suplementos";"Quemadores";"Granger";"Cupcake Keto Granger Chocolate / Vainilla 200g"
"Suplementos";"Comida proteica";"Granger";"Pancakes Proteicos Sabor Vainilla Granger 400 G"
"Suplementos";"Vitaminas y Salud";"Innovanaturals";"Innovanaturals Astaxantina 10mg 60 Cápsulas Sin Sabor"
"Supermercado";"Otros alimentos";"Nonisec";"Pack X 6 Zalea Descartable Nonisec X 10 Unidades"
"Supermercado";"Snacks";"Entrenuts";"Pasta De Mani Entrenuts Natural 1 Kg"
"Supermercado";"Otros alimentos";"Nonisec";"Nonisec Zaleas Descartables 60x90 Paquete X 10unidades"
"Suplementos";"Vitaminas y Salud";"Innovanaturals";"Coenzima Q10 30 Caps Innovanaturals Sin Sabor"
"Supermercado";"Otros alimentos";"Dicomere";"Pasa de Uva Dicomere Bolsa x 1 kg 2X1!!!"
"Supermercado";"Otros alimentos";"Dicomere";"Mix de Frutas Secas Premium Dicomere Bolsa x 1 kg 2X1!!!"
"Supermercado";"Almacén";"Entrenuts";"Aceite de Coco Neutro 360cc Entrenuts 3X1!!"
"Supermercado";"Almacén";"Entrenuts";"Aceite de Coco Virgen 360cc Entrenuts 3X1!!"
"Suplementos";"Creatinas";"Natural Whey";"Creatina Pura Monohidratada 500g Natural Whey Suplemento Deportivo Polvo Característico"
"Suplementos";"Creatinas";"Natural Whey";"Creatina Monohidrato Micronizada 1 Kg Sin Sabor Natural Whey Sin Sabor"
"Suplementos";"BCAA-Aminos";"Body Advance";"Aminoacidos Esenciales - Eaa Amin9 - Body Advance"
"Suplementos";"Creatinas";"Body Advance";"Suplemento Creatina Glutamina Body Advance Creagline Sin Sabor 150g"
"Suplementos";"Pre-entrenos";"Body Advance";"Nitrix Bomb Aminoácidos 90 Comprimidos - Body Advance Neutro"
"Suplementos";"Saborizantes";"Main Fusion";"Jarabe Main Fusion Sabor Pistacho 1 Litro"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Citrato De Potasio 400mg Labs Nutrition 60 Cápsulas Sin Sabor"
"Suplementos";"Pre-entrenos";"Body Advance";"Pre Entreno Body Advance Beast Blood 280g Sabor Tutti Frutti"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Colágeno Labs Nutrition Con Ácido Hialurónico Sin Sabor 60c Neutro"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Ácido Hialurónico Labs Nutrition 60 Cápsulas Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Melaton 500 Mg Labs Nutrition Cápsulas 30 Unid Suplemento Sueño Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Labs Nutrition";"Multi Magnesio 500mg 60 Cáps Labs Nutrition Alto Absorción Sin Sabor"
